Timestamp,Response,1. Rate of increase,2. Duplexes,2. 3-6 units,2. 7 to 15 units,3. Attainable,3. Affordable,4. Att-Aff Explanation,5. Lyme Common,5. Lyme Center,5. Commercial,5. Rural,5. East Lyme,5. Holts Ledge,5. Mtn & Forest,5. Wherever SF units,5. Nowhere,5. Other,6. Other explanation,7. Housing in Commercial,8. Multi-unit districts,9. Infill,10. Lyme School,11. Lyme School Explanation,12. Housing initiatives,13. Years in Lyme,14. Plan to move,15. Explanation of moving ,16. Age range,17. Smaller house,18. Smaller house explanation,19. Currently own,20. Other thoughts
11/6/25 15:45,11,No increase (2 new units/year),No,No,No,No,No,,7,6,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,5,,,,"Minimal or no housing, Single family home, Duplex (two family)","Lyme Common District, Lyme Center District",No,Yes,,"Helping people stay in their current housing, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/6/25 16:28,12,2-fold increase (4 new units/year),Yes,Yes,No,Yes,Yes,reduce utility costs by concentrating units in area with existing infrastructure,7,6,8-MOST Appropriate,3,1-LEAST Appropriate,3,3,2,2,2,near existing development,"Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,Yes,,"Helping people stay in their current housing, Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/6/25 17:12,13,4-fold increase (8 new units/year),Yes,Yes,No,No,Yes,,5,6,6,6,,,,8-MOST Appropriate,1-LEAST Appropriate,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building",,Yes,Yes,,"Creating housing with a mix of price ranges, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Attracting younger residents and families with children",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/6/25 17:32,14,3-fold increase (6 new units/year),Yes,,,Yes,Yes,"In open areas ie land that may be in conservation area, perhaps where Berway farm area is. Could build some much needed housing. Not lots but maybe a few houses and one or two duplexes ",,,,8-MOST Appropriate,,,,8-MOST Appropriate,,,,Duplex (two family),Rural District,No,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children",More than 20 years,No,,Over 65 years,No,,Own your own home,Good luck with this challenging endeavor🤞
11/6/25 17:36,15,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,We simply need to build more homes that are smaller or multiunit.,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,2,2,2,1-LEAST Appropriate,,1-LEAST Appropriate,1-LEAST Appropriate,Anywhere along NH-10.,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,No,"I think the town, and school, should expand accordingly.","Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age",Less than 5 years,No,,46 to 65 years,No,,Own your own home,
11/6/25 17:57,16,2-fold increase (4 new units/year),,Yes,Yes,Yes,Yes,multiaged housing,6,8-MOST Appropriate,5,7,6,6,6,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Wherever single-family dwellings are allowed",Yes,No,,"Helping people stay in their current housing, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/6/25 18:23,17,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,,2,3,6,6,6,2,4,3,,,,"Duplex (two family), 7-15 dwelling units in a building","Rural District, East Lyme District",Yes,No,,"Encouraging more housing options/choices/types town-wide, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/6/25 18:26,18,2-fold increase (4 new units/year),Yes,Yes,No,Yes,No,,1-LEAST Appropriate,1-LEAST Appropriate,3,4,4,5,7,6,1-LEAST Appropriate,1-LEAST Appropriate,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Rural District, Holts Ledge District, Mountain and Forest District",No,Yes,Expansion would increase property taxes.,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Attracting younger residents and families with children, Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/6/25 18:54,19,4-fold increase (8 new units/year),Yes,No,No,Yes,Yes,,6,6,6,6,6,6,3,8-MOST Appropriate,1-LEAST Appropriate,6,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Wherever single-family dwellings are allowed",No,No,,"Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children",Less than 5 years,No,,18 to 45 years,No,,Own your own home,
11/6/25 19:11,20,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Allow for more subdividing of existing lots ,7,7,7,7,7,6,7,8-MOST Appropriate,1-LEAST Appropriate,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Mountain and Forest District, Wherever single-family dwellings are allowed",Yes,No,No one knows exactly how school choice will impact future school growth. Plus more housing would create more tax revenue ,"Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",Less than 5 years,No,,18 to 45 years,No,,Own your own home,Lyme is within the DH call radius so creating affordable housing for healthcare workers seems like a win all around. There is enough open space in lyme that adding more housing will not detract from its charm.  
11/6/25 19:46,21,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,Community land trust model ,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,5,,,Farms no longer in operation (such as across from school),"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District, East Lyme District, Holts Ledge District",Yes,No,,"Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",5 to 10 years,No,,46 to 65 years,No,,Own your own home,
11/6/25 19:52,22,5-fold increase (10 new units/year),Yes,Yes,No,Yes,Yes,"Less restrictive zoning. Look at Europe where houses are grouped and open areas are preserved. In my district it's a 5-acre minimum, so someone has to purchase 5 acres and pay taxes on 5 acres, where if they were allowed to build on two acres they could afford it more easily.",,,,,,,,,,8-MOST Appropriate,"We need to stop over managing our development. Unfortunately the town of Lyme has fallen victim to people who purchase all the large tracts and immediately put it in conservation which makes it undevelopable. This not only restricts the availability of property, but the property that is available is severely overpriced. I don't see us ever being able to accommodate either accessible or affordable housing","Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Mountain and Forest District, Wherever single-family dwellings are allowed",Yes,Yes,The Lyme school has an insanely low student to teacher ratio. We currently pay half a million dollars to administrate 195 students and this is really excessive in my opinion,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,I will stay in line as long as I can afford to. Unfortunately most of the new residents in line would consider my property valuable but my home it tear down. I'm not alone in this perspective.,Over 65 years,Maybe in the future,I would like to possibly create a freestanding accessory dwelling at some point but I'm pretty sure the current Lyme zoning will keep me from doing that,Own your own home,"I did not approve of the live zoning from day one, but the new people moving into town wanted to protect themselves and this is the result, we are now overpriced and locals are being pushed out."
11/6/25 19:55,23,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,"In filling existing structures; ADUs with a bit looser regulations such as size, locations, configurations, less reliance on NH Property Taxes as the largest and practically sole means of NH revenue; even a 1-2% sales tax would help meet Nh budget needs and help reduce property tax bills.",4,7,8-MOST Appropriate,8-MOST Appropriate,6,6,7,8-MOST Appropriate,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, East Lyme District, Holts Ledge District, Mountain and Forest District, Wherever single-family dwellings are allowed",Yes,No,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,,Over 65 years,Maybe in the future,,Own your own home,
11/6/25 21:11,24,4-fold increase (8 new units/year),Yes,No,No,Yes,Yes,Easier to subdivide land.,8-MOST Appropriate,7,8-MOST Appropriate,7,4,2,2,6,1-LEAST Appropriate,,,Duplex (two family),"Lyme Common District, Lyme Center District",Yes,No,,"Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,No,,46 to 65 years,No,,Own your own home,
11/6/25 22:12,25,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Multi unit dwellings,5,5,5,8-MOST Appropriate,,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,,,,Minimal or no housing,Rural District,Yes,No,"Housing is the primary issue we need to plan for now, and we can solve for capacity at the school. ","Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",5 to 10 years,No,,18 to 45 years,No,,Own your own home,It is time for change! Thank you for asking and thank you for your service to the community.
11/7/25 06:36,26,No increase (2 new units/year),Yes,No,No,No,No,,,,,,,,1-LEAST Appropriate,8-MOST Appropriate,,,,3- 6 dwelling units in a building,None of the above,No,Yes,,"Helping people stay in their current housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Helping people stay in the community as they age",More than 20 years,No,,Over 65 years,No,,Own your own home,
11/7/25 06:53,27,5-fold increase (10 new units/year),No,Yes,No,Yes,Yes,,8-MOST Appropriate,5,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,5,5,8-MOST Appropriate,1-LEAST Appropriate,,,3- 6 dwelling units in a building,Lyme Common District,Yes,No,,"Creating housing with a mix of price ranges, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Attracting younger residents and families with children",5 to 10 years,No,,46 to 65 years,No,,Own your own home,
11/7/25 07:15,28,4-fold increase (8 new units/year),Yes,Yes,No,Yes,No,Allow for more multi unit housing.,7,3,4,2,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,2,1-LEAST Appropriate,8-MOST Appropriate,"Keeping the character of the Lyme Common as is, while allowing for more housing within walkable distance to the Common.  High Street, Market Street, and along Route 10 (Union Street, High Street, Orford Rd). Both the current school building location and the two large sand pits off of High Street would be ideal locations for more dense, attainable housing in the form of condos that would be walkable to the center of town.  A sidewalk loop up Dorchester Rd, down High Street, then closing the loop on Union Street would make everything very walkable.","Single family home, Duplex (two family), 3- 6 dwelling units in a building",,Yes,No,"The existing building location would be prime real estate for housing.  Retrofit the existing building into nice apartments, attainable apartments.  Locate a new school building, out by the Ct Moving Company building.  It would still be walkable to the Lyme Common District but would not be as restricted geographically.","Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings), Creating a more walkable Lyme Common community.  More housing would encourage more businesses and restaurants.",10 to 20 years,No,,18 to 45 years,Maybe in the future,"Maybe as empty nesters we would want to downsize, but that is far off in the future.",Own your own home,Keeping the visual character of the Lyme Common and Lyme Center should be paramount.  I believe there are ways to do that while adding to the density of housing in the Lyme Common district.  
11/7/25 07:26,29,2-fold increase (4 new units/year),Yes,No,No,Yes,Yes,Allow Accessory Dwelling Units on existing lots with homes,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,2,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,7,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,Yes,Taxes already too high to support a school rebuild or expansion,"Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs)",Less than 5 years,No,,Over 65 years,No,,Own your own home,great questions. thank you.
11/7/25 08:00,30,No increase (2 new units/year),No,No,No,No,No,,7,4,8-MOST Appropriate,4,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,8-MOST Appropriate,In the rural area immediately adjacent to the commercial district on Route 10 ,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Commercial district or immediately adjacent on route 10. ",Yes,Yes,,"Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials)",Less than 5 years,No,,18 to 45 years,No,,Own your own home,"The main reason we bought in Lyme is that is was less developed but still close to Hanover and Lebanon. We paid a premium price for this. Additionally, we accept some of the inconveniences of living in Lyme (further drive to grocery, no trash service, no universal mail delivery). If Lyme becomes more densely populated then there will be less incentive to live here over neighboring towns. In fact, other towns will become more appealing and Lyme property value will fall. "
11/7/25 08:22,31,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,yes.  relax zoning restrictions.,1-LEAST Appropriate,5,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,,,3- 6 dwelling units in a building,"Rural District, Mountain and Forest District",Yes,No,The tax burden on current homeowners in Lyme is unsustainable.  The tax base needs to increase to share the tax burden.,"Encouraging more housing options/choices/types town-wide, Attracting younger residents and families with children, Helping people stay in the community as they age",More than 20 years,No,"we don't PLAN or WANT to move, but at some point, we will no longer be able to afford the taxes in Lyme.  Sad, but true for many.",Over 65 years,Maybe in the future,depends on when the taxes drive us out of our home.,Own your own home,Thank you for all of your very important work.
11/7/25 09:05,32,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Cluster housing close to center of Lyme and Lyme Center. ,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,,,,,,,,,7-15 dwelling units in a building,"Lyme Common District, Lyme Center District",Yes,No,,"Creating housing with a mix of price ranges, Preservation of existing affordable housing, Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age",More than 20 years,Maybe,,Over 65 years,Maybe in the future,,Own your own home,
11/7/25 10:07,33,2-fold increase (4 new units/year),Yes,Yes,Yes,Yes,Yes,Multi unit dwellings w smaller square footage.,8-MOST Appropriate,6,8-MOST Appropriate,3,3,3,1-LEAST Appropriate,3,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District",Yes,Yes,Anything to reduce taxes! Very unfair for 80% of residents to subsidize education for 20%. ,"Helping people stay in their current housing, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",5 to 10 years,Maybe,depends on taxes,Over 65 years,Maybe in the future,,Own your own home,Taxes matter most. 
11/7/25 10:12,34,No increase (2 new units/year),Yes,No,No,No,No,I think the market should operate on its own without interference,6,6,6,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,,,"Minimal or no housing, Single family home, Duplex (two family)","Lyme Common District, Lyme Center District",No,Yes,,None of the above,10 to 20 years,Maybe,"I love Lyme and intend to stay, but if the character of the town is to change a lot, and the taxes are still sky high, then that would change my thinking.. ",46 to 65 years,No,,Own your own home,"I think Lyme is a special place.  It has great outdoors spaces, rural character, beautiful in-town area by the green.  Lyme is not Grafton county and Lyme is not Sunapee.  It is different and special.  I think we should generally leave it how it is and not mess with it.  If we build a bunch of affordable housing, that will change the character of the town and impact the school, housing prices, everything.  I know that people need an affordable place to live.  But every town doesn't have to be exactly the same.  Our taxes are high because we have limited development and lots of undeveloped land in current use.  I accept that as a trade for living in this beautiful rural town.  People from other communities can come here and use those lands and outdoor spaces.  If we are going to build a bunch of affordable housing and ""normalize Lyme"" we might as well take all that land out of current use and start raising tax revenue on it.  I don't want ot do this, but that seems like the road we would be going down if we want to make Lyme like any other NH town.   "
11/7/25 10:45,35,5-fold increase (10 new units/year),Yes,Yes,No,Yes,Yes,"Identify areas well suited to higher density housing. Like the entire area between the horse sheds at the Congregational church and High Street. Route 10 north towards Orford and south towards Hanover. East thetford road between Lyme and the bridge to thetford. Use those areas for anything bigger than a duplex. Besides that, look at old maps of Lyme and allow new houses wheee there are cellar holes or evidence of old houses. Selectively open class six roads like East Street and Shoestrap all the way down to river road for careful, limited development. Have we even regained the level of our peak population in the early 1800s? At least we could match and slightly exceed that!",8-MOST Appropriate,6,8-MOST Appropriate,5,8-MOST Appropriate,8-MOST Appropriate,5,8-MOST Appropriate,,8-MOST Appropriate,"Select roads: route 10 north to Orford, route 10 south to Hanover, east thetford road from town to the bridge to thetford. ","Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, East Lyme District, Holts Ledge District, Commercial district and same answer as above along those select roads: route 10 north and south plus east thetford road ",Yes,Yes,"If I understand the math correctly, by 2040, with 135 new households, we max out the school capacity. So that sounds like a reasonable “phase 1” expansion plan for Lyme. Allow growth to the capacity of the school, and then take a breather and consider additional growth based on the experience and lessons learned from phase 1. It’s a natural, organic limiting factor to take a pause and then consider whether the town wants additional growth from there. ","Creating housing with a mix of price ranges, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",5 to 10 years,No,,46 to 65 years,Maybe in the future,,Own your own home,"We cannot continue to try to freeze Lyne’s development, put all open land into conservation, and turn Lyme into a Ye Olde Museum town. It needs to breath and change and grow, carefully and thoughtfully. It needs affordable options. "
