Timestamp,Response,Attend,View,Takeaway,Like,Change,Muni,School,Taxes,"How-address",Manual,Other
2019/04/01 1:40:01 PM AST,16,No,No,,"Rural character, some amenities(restaurants,store,inns), outdoor activities/resources(trails, pond, river,etc)",Need a small commercial zone expansion south of town to reduce tax burden.,3,2,Too high,"Create/expand a small  commerical zone on the south side of town on Rt. 10. Create a maximum current use benefit.(re 10 acres, unless active agriculture can be proved for 2/3 of the land in current use.)",,"Commit 100% of the high school student population to (1) high with a long term agreement negotiated for that cost, eliminate ""tuitioning choice""."
2019/04/01 1:42:16 PM AST,17,No,Yes,That Expanding the tax base will likely require planning and zoning changes.,Our culture.,Building opportunities for businesses to locate here,4,5,About right,,,
2019/04/01 2:31:59 PM AST,18,No,Yes,There is no magic bullet,"Beutiful landscape, preserved land, small town feel",More control on town and school expenses,3,3,Too high,More control of Town and School costs,,
2019/04/01 3:47:22 PM AST,19,No,Yes,That the community fears of increasing school enrollment were not realistic and that there were no magic bullets for increasing revenue ,Many people pride themselves on community involvement,More diversity and some basic service functions,3,3,Too high,The continuation of paying for ever increasing costs of town govt through local taxes is not viable and it is absurd that NH will not bite the bullet and have a state tax. Since that probably won't happen in the near future we have little option but to entice some business to Lyme- not non-profits and to allow affordable housing that is more cost efficient. I appreciate the report did not show a big increase in taxes or students with these options but it could be helpful none the less to keep the new property sales from sky rocketing because of their rarity.,,"What type of business might Lyme residents prefer and what would draw others to shop here? Is connecting with a bus or local transportation service a viable option to decrease auto dependency and its resultant expense, pollution and waste?"
2019/04/01 3:53:36 PM AST,20,No,Yes,"People seemed to be working thoughtfully to find a solution. I hope there will be another opportunity for a live forum. So far there is no silver bullet solution.
 I think progress is made as people hear each other's remarks and can build on those.",Lyme is still fairly a heterogeneous town with a good mix of building and open space.,I would like there to be more opportunity for  people of different incomes to live in town--affordable housing. better internet.,5,4,Too high,perhaps zone more areas commercial and improve the internet,,senior housing
2019/04/01 5:14:54 PM AST,21,No,Yes,That expansion of the tax base without increasing school size (commercial or senior housing) is the most practical way to lower taxes without giving up services.  ,Most everything,Lowering the tax rate is a good goal. ,4,5,Too high,"Have a very open and honest (but difficult) conversation about education spending.  What are the cost differences between the high school options available? Should parents pay the difference between the lowest cost option and their choice?  Can high school costs per student be renegotiated? How much does the town spend on special education per student and is that cost practical? Does the town pay for students younger than high school age to attend other schools if they choose? If so, how much and why?  The difficult reality is that if education quality remains high then more parents of young children will move to Lyme. ",,"The slide deck shown by the consultants was useful to understand the relative benefit of various development options, but the debate that I hear around town has not advanced to that stage yet, it is still change vs no-change. Once people accept that change needs to happen, then the town can debate the best form of change.  What I thought was missing from the consultants report was a slide projecting what the demographics of the town look like if current trends hold.  If high education spending is driving out older residents and high education quality is attracting younger residents with school age children then what does the town look like in 10 years if nothing is done to change current trends?  What would the tax rate have to be to maintain school spending with 20% more kids?  Will the faction that wants no change like what they see in 10 years if we do nothing now?  It is easy for people to say that they like things the way they are now, but the reality is that the town is always evolving. LCDC should help people understand what the future looks like if we do nothing.  Status quo isn't an option. "
2019/04/01 6:29:55 PM AST,22,No,No,,,,2,2,Too high,"The town needs to tighten it's belt rather than giving in to every request, we're going to ruin our real estate values because we want utopia",,
2019/04/01 6:40:41 PM AST,23,No,Yes,Additional development has negligible impact on town income.  It is not a viable solution for Lyme's high tax rates.,It is a small rural community.,-,4,3,Too high,"Consider a school surcharge tax, based on the number of household members using the school system.  This encourages younger (pre-kids) families to move to Lyme, as well as encouraging older families to remain in Lyme after children graduate from the school district.  Introduce this as a small additional tax and grow it over the years, and keep it at reasonable levels.",,-
2019/04/01 7:14:38 PM AST,24,No,No,,,,4,4,About right,,,
2019/04/01 8:15:20 PM AST,25,No,No,,"Participation - people seem actively involved and care about each other.  In spite of any criticisms or ideas listed below, I believe the town works hard to be good to its citizens.","Change town meeting to evenings.  More communication from school to town, especially those without students, such as posting links to school newsletters/activities on the listserv.  Those of us without kids would be more supportive if we knew more about the interesting things going on there.",3,3,Too high,"Pay off debt before taking more on.  More careful purchasing, such as sometimes purchasing used equipment instead of new, or simply making do with things for longer.  Outsource more administrative tasks or possibly reduce hours even more depending on volume (always deserted when I show up).  Only 1 policeman.  I don't interact much with the school, but I'm guessing the same points would hold true there.",,
2019/04/01 9:08:17 PM AST,26,Yes,,"There are no apparent answers to greatly increase the tax base. We should look to model after successful, comparable towns around the country.","Small town charm. Educated residents with interest in nature, charity and student education.",Lyme needs a manager...someone working with everyone's best current and future interests in mind. Better businesses.,2,3,Too high,Support a NH income tax and rally behind state support of education.,,
2019/04/01 9:09:46 PM AST,27,No,Yes,Lowering taxes or maintaining the tax rate in Lyme is impossible,"Great family town, not for someone on a fixed income",We need to challenge the state of NH to change land use. It is killing the middle income taxpayer of Lyme.,2,3,Too high,Define and pursue the needs necessary to attract  small businesses,,Zoning to encourage small home building
2019/04/01 9:37:45 PM AST,28,No,Yes,There is a demand for developing Lyme to help reduce taxes,It is not crowded.,Not much,5,5,Too high,Reduce expenditures.,,"We live here because it is not West Lebanon, Manchester, or Metro Boston. Stop the developers, now."
2019/04/01 9:39:20 PM AST,29,No,Yes,There is a demand for developing Lyme to help reduce taxes,It is not crowded.,Not much,3,3,Too high,Reduce expenditures.,,"We live here because it is not West Lebanon, Manchester, or Metro Boston. Stop the developers, now."
2019/04/02 1:40:16 PM AST,30,No,Yes,,"I like Lyme very much.  Like its sense of community and school.  I like town officials i.e. clerk's office, dump personnel, ",,4,5,Too high,,,Consider everything and anything.  Is everyone paying their fair share.
2019/04/02 11:41:43 PM AST,31,No,Yes,it would be difficult to lower the tax rate,"pride in the community, caring of neighbors",lower taxes so long time residents don't have to move out of their homes ,4,3,Too high,not sure,,keeping taxes stable for elderly home owners
2019/04/03 9:47:33 AM AST,32,Yes,,Modest development could help to mitigate tax increases.,small friendly community,More small commercial enterprises and services.,3,2,Too high,Control school costs,,I would like to see more planning for the future.  Being more proactive will help mitigate future tax increases and help us prepare for large future expenditures.
2019/04/03 2:32:59 PM AST,33,No,Yes,First class services that we demand cost a lot,Size,Not sure,3,2,Too high,Yes,,
2019/04/04 7:02:00 AM AST,34,No,Yes,"Housing needs -- senior, affordable",Most things,Current Use tax burden shifting,5,5,About right,"I think Lyme's tax rates are OK, considering the benefits of living in Lyme. I question the anecdotal claims that people move out primarily because of taxes. ALL costs of living are increasing, and someone won't escape taxes by moving. The shifted costs of Current Use are the largest portion of our tax bill, after municipal and school.",,
2019/04/04 12:36:38 PM AST,35,No,Yes,"It was an excellent synopsis of the pressures the town faces.  It is clear there is no one solution to our tax burden issue.  That, however, does not imply there is no solution, and instead indicates that it is multi-factorial.  ","The school, quality of life, ability to offload roadkill on the listserv in 5 minutes.  ","Cell reception, reducing land tax easements, adding commercially zoned locations at more locations, such as the west and north of town.",5,3,Too high,"
Again, there is no single magic bullet, but we can attack this problem on multiple fronts.

1) Increase revenue by revisiting taxing of land in current use and conservation easement. 
I understand that is a Statewide issue, but it has an extremely large impact on our town. I agree with Rusty regarding the significant gaming of the tax system by some landowners in Lyme to offset their land taxes at the expense of the rest of us without large tracts of land.  The forestry argument is sock-puppetry to divert from addressing this underlying problem.  

1a) Having essentially all undeveloped land in current use/conservation easement means there will never be land available to put a cell tower in town.  Bravo, Lyme, on the self-inflicted wound keeping us stuck in the 1990s telecommunications-wise.

2) Renegotiate Hanover HS tuition.
A few years ago, Jeff Valence said there would be negotiations with the Dresden School district to address the very high tuition payments the town makes to send kids to HHS.  70% of Lyme HS kids now go to HHS, and that school has the HIGHEST public tuition in the state.  In addition, financial incentives need to be implemented to compel parents to send their kids to other schools.

3) Increase *realistic* commercial development. 
Consider making a list of what types of companies would be fine with no sewer or town water.  What companies would be fine with 3000 cars per day?  Look at nearby towns to the N/W/E of us that have similar limitations.  Gyms, nurseries (*cough* Menges' NIMBY *cough*), pop-up coffee shops, offices, used book stores.  I think the bar has been set too high in that people expect only top-tier, high quality commercial enterprises to come in, but it has to start organically, which will mean a little lower quality at first.  Let's not be too precious about ourselves here.

4) Increase revenue by adding aging-in-place communities. 
Continually changing the goalposts for getting the Pinnacle Project certified is absurd and shameful.  The pearl-clutching whaddaboutism and scaremongering of the Planning Board is farcical and embarrassing.  Seriously, I'd be fine if the Bailey's *voluntarily* cashed out their farm and we got more houses and businesses there.  Good for them.  That's the market at work.  Let's not hamstring our town because we want to see cute goats and turkeys on our commute home in the evening.

5) Increased commercially zoned locations in town.
West Thetford Road, Rte 10 North near Mill Gardens, near skiway, Rte 10 South of town.",,"Lyme is incredibly lucky a) to have very wealthy people living here and b) be located next to a major university and hospital.  Similar reasons are why Ithaca NY prospers in the middle of upstate New York (i.e. Cornell), while other towns on the Finger Lakes are dying.  So while we all say it's our town's esprit de corps that sets us apart, people think the same no matter where there are.  **Honestly** it's location and money.  And the money is here because of location.   Consider how town projects, big and small, are funded by the local super-wealthy (Lyme Fiber, new sheet for town ice rink, Lyme Foundation grants, etc.)  Lyme residents do a very good job on making this happen, and it needs to continue, and even be enhanced, as the town moves forward.   That doesn't address any of the tax issues I mention above, but I just want to highlight that it's a funding source that needs to be persistently utilized."
2019/04/04 10:50:00 PM AST,36,No,Yes,"That without changes to the in current use laws or significant increases in residential or commercial properties, then it will be very difficult to change the property taxes in the town of Lyme.",We like the rural character of the town and appreciate the fact that there are limited commercial properties.  The quality of the school was what made us consider Lyme in the first place and we were not disappointed in the education our children received.  We also came to Lyme knowing that it was a sending district and that our children would have the opportunity to go to Hanover high School.   We also like the many opportunities for recreation in the town of Lyme during the summer and winter.  ,"I believe that there are small opportunities for development that would improve the town of Lyme.  I do like the idea of senior housing in the town.  I would also like to see a coffee shop/sandwich shop/pizza takeout available at the town green. I could also see the town further developing it's trail systems for summer   and winter use and promoting the outdoor lifestyle that many people in the town appreciate.  Given the presence of the Green Woodlands and Dartmouth skiway and many recreation trails for skiing, snowmobiling, hiking and biking, including the AT, I don't see why the town couldn't also support a microbrewery or outdoor gear oriented business.  I also think that the town should continue to support the implementation of high speed internet in the town.  This will further enable commercial entities to consider the town for their business.  ",4,4,Too high,"I think the town should develop a plan that promotes some residential growth, fosters business activity in the town and takes advantage of our environment to bring in businesses that are consistent with the town and it's setting.  I also think the town should be more proactive in addressing changes to the in-current-use laws at the state level and/or changing state laws to allow more progressive ""use"" taxes to support town activities (e.g. Auto Registration, Costs per bag at the town dump, etc.).  I don't believe there is one answer here, but rather a lot of small changes will be required.",,I appreciate the fact that the town is actively engaged in understanding the tax revenue and expense challenges in the town.  I think that they should continue to search for creative ways to raise the tax base while learning about ways other similar communities are tackling these issues.  This will most likely require partnering with other communities to support legislative changes that will have a positive impact on rural communities like ours.
2019/04/05 2:35:32 PM AST,37,No,Yes,"Lyme has been growing successfully, minor tweaks in policy may be useful to address a few issues. Almost none of the suggested actions should significantly impact taxes - other consequences should be focused on.","Excellent mix of rural, spacious, small town features.  It's quiet and most people are agreeable, well mannered, constructive. It behaves like a community with strong involvement by the citizens.",Nothing,5,5,About right,,,"The drive toward expansion, increased housing, population.  I think the pressure to build will destroy this place.  (look anywhere else in the country ... people keep moving in to ""attractive"" environments and as a result they wreck the features that attracted them originally)"
2019/04/05 2:49:56 PM AST,38,No,Yes,There is no magic bullet.,"It is a diverse, comfortable, caring community.  People still help one another.  People look out for others who are in need.  There are lots of bright, interesting people who are willing to share their experiences.  The community has supported its schools, it students, and its administrators.",I have no strong feelings concerning change.  I am generally satisfied with the current status.,5,5,About right,"I, as many others, feel that taxes in the Town are high. However, if the time is taken to learn about the causes for the seemingly unreasonable tax rates, the rates will appear more reasonable.  Lack of State support for education as well as the onerous regulations concerning special ed are two examples of contributors to the level of taxes.  ",,Making sure that rash changes are not made which would permanently alter the character of the Town.
2019/04/07 12:09:18 PM AST,39,No,Yes,We have limited options to increase the tax base,The town is friendly. The school is excellent.,I'd love to see more workforce housing. We'd be better off with a mix of incomes among our resident.,5,5,Too high,"I really don't think we have many options, unless the state of NH adopts an income tax.",,"Thank your for working on the issue. I think a lot of people think there are simple solutions, but it's clear from the research and presentation that even if we _wanted_ large-scale commercial development, the infrastructure (sewer, water, internet) would not support it."
2019/04/08 10:10:36 AM AST,40,No,Yes,"Not surprisingly, there is no silver bullet. That there will be some gain from smart planned development but no miracle cure. That we have a lot more work to do to figure out how to make Lyme a viable place to live for people of all economic levels, particularly to make it a place where seniors on fixed incomes can continue to live. And where people who have blue-collar jobs or are teachers or  nurses can still afford to live.","Its beauty and recreational opportunities in all seasons (except mud season), the warmth of its citizens, the quality of its school, its proximity to Hanover and the Dartmouth campus, and the Lyme Country Store. ","I'd like to see us find a way to slowly grow Lyme in an effort to keep the tax rate as flat as possible. Further development along Route 10 seems smart and obvious. I was disappointed in the attitude of the leaders of the town that forced Mill Gardens out of town and into an attractive facility in Orford. I was disappointed in the attitude of some residents of Lyme who tried to block Bret Ryan's development along Route 10. We have an auto body shop at one end of town. So be it. We have an alternative heating company sprawled along Route 10 a bit south of that. So be it. We have an auto repair shop on Route 10 just north of the common. So be it. Compared to them, Bret Ryan's effort is an attractive masterpiece. Mill Gardens would have been just as attractive. We need to encourage more development like that along Route 10. A garden supply store in Lyme seems as obvious as a hardware store, some banks and a few restaurants. ",4,4,Too high,"See above. By encouraging attractive slow growth. The region needs housing. Affordable housing, for sure. But housing. Not unsightly garden apartment complexes or co-housing, but smallish, affordable single-family homes in developments not unlike, for example, what we have above Whipple Hill (scaled down). We should find ways to encourage small businesses to move to Lyme, as Northern Woodlands has done. New Hampshire Business Review had an interesting article recently -- https://www.nhbr.com/a-hub-for-tech-entrepreneurship/ -- that bragged about how popular the Upper Valley is for tech start-ups and medical device entrepreneurs, with most of them landing in and near Lebanon and finding it relatively easier to attract and retain qualified employees because of all the fringe benefits of moving to the Upper Valley. I think we can learn from that. For instance, think about the house for sale right now on the Common, between the library and the Consolidated Communications structure: wouldn't it make a perfect office space for a start-up or two, with all the advantages of small-town living, amazing recreational opportunities, a great elementary school and proximity to a major college with an engineering school and a first-rate medical center. Wow. We should encourage the right ""developer"" to buy that and convert it to office space, not unlike the building on the eastern end of the Common where Northern Woodlands has settled in. The Wagner building on Route 10 at the intersection of North Thetford Road is another great example of how a tax-paying business can easily fit into the corridor along Route 10, even among homes. Estes & Gallup is another great example. The Common and Route 10 should be our focus. The small house (Bill Gray) across from town hall has been for sale for a while. That, too, would be the perfect spot for the right kind of economic development -- office space for some start-ups, etc. It's quite close to Earl Strout's office park. Seems like a perfect fit. And no doubt you've already thought of all this!!",,"The town has to find ways to soften the ""control"" of the anti-development types who will simply just say no to any and all proposals. True, we have a lovely town and it's amazing to be able to take in all the beautiful farmland and forests and foothills. But that alone will not allow us to successfully attract and retain people of all economic levels. Right now the attitude seems to be to ""just say no."" And aside from the major battle that the anti-development crowd sometimes loses (Bret Ryan), that is not going to get us any form of progress. We need to encourage smart development. At this point, it seems as if that will be a very difficult objective to pull off. One last thought that was mentioned briefly in the public comment section of the presentation video: we should focus more time and effort at looking at what other towns have done to be successful in managing their growth, keeping their expenses in line and slowing the tax increases. Surely in the region, the state or in other rural areas in the Northeast, some towns have done this much better than others and we ought to be able to learn from their successes. That would definitely be worth an investment of time. But learning those answers without a change in attitude toward modest development won't get us anywhere. "
2019/04/08 10:15:44 AM AST,41,No,No,,"It still feels like a friendly, small town which is responsive to the evolving needs of its residents.",We must make it possible for middle and low income residents to live here.,4,5,Too high,Make it possible for modest income households and small businesses to exist. Cluster and senior housing must become available.,,Zoning is far too restrictive. Change is difficult due to downright bullying by a small number of very wealthy citizens.
2019/04/08 11:23:46 AM AST,42,Yes,Yes,lightweight ,"community, open space, village.",Adopt SB2 process to combine school and town warrant articles  with their final vote by official ballot. This would ensure a greater participation in the school budget and negate the use of vote by voice. The fact that 68% of Lyme's tax goes to the school system demands a change in the way budgets are agreed. ,3,2,Too high,"As above,  adopt SB2. ",,"The town should be actively engaged in developing town owned land as a recreation destination for the purpose of providing campsite facilities at charge. Preliminary investigations show that the town forest properly developed for camping could realize a minimum value of $250,000 per year.  This would also provide existing restaurants and related businesses to gain considerable income.  A big thank you to LCDC for the work it has done and hopefully will create a new and worthwhile path for the betterment of all Lyme citizens.
Duncan Mackintosh, 68 Breck Hill Road, Lyme. "
2019/04/08 12:46:03 PM AST,43,No,Yes,That there is little that the town will do to address the property tax burden that is forcing families out of town and is not sustainable. ,"Neighbors, friends, community support, community care. ",I would love it if the property taxes could be fair and sustainable so that families do not have to leave. ,2,2,Too high,"We should be addressing taxing some of the vast conservation lands, address land in use again, and allow more development. ",,"If the taxes continue to be this high and rise at this rate, families will continue to cycle in and then out of town and our community will continue to suffer. "
2019/04/08 2:29:33 PM AST,44,Yes,,Difficult to slower lower taxes ,A friendly and attractive community,Bewilling and  aggressive in finding solutions  to manage taxes,3,2,Too high,Add housing that is designed not to add school children and is tax positive,,be aware of the value of needs v wants
2019/04/09 9:36:35 AM AST,45,No,Yes,No surprises -- Residents pushing against Current Use which needs to be addressed at the State level.  Even if the Zoning Ordinance was eased we aren't going to be hit with big box stores and ribbon development that is referenced as a scare tactic by some residents. ,it's a very nice small town - I like living here,Free the Zoning Ordinance enough to permit better clustered development such as the proposed Pinnacle project.,5,5,Too high,The rate of increase is too high -- again this is an issue because State issues are being off-loaded to the towns.,,The major problem going forward is going to be road maintenance especially as we're likely to see more extreme weather events in the future.  We need to put together a more comprehensive plan of road maintenance together with a plan of future funding.  The present scatter-shot approach of various Warrant Articles at town meeting needs to be re-thought.
2019/04/09 11:57:08 AM AST,46,No,Yes,"We are not attractive to large retail outlets, but offer good opportunity to smaller businesses.  We could have a more balanced community if we developed some medium priced housing.  We are a perfect place for elderly housing.",Small friendly town.,Encourage new small business.  ,3,3,Too high,Closely examine our capital spending.  Perhaps outsource our town highway services.  The cost per pupil in our school is too high.,,"
Examine reasons for large percentage increases in both town and school budgets.  Send out a mailing explaining same to taxpayers/residents using only the facts.  Let us know how much of the  increases are due to inflation, increased services, or regulation.  Although I sound contradictory we should keep an open mind to new ideas/thoughts about programs and personnel because of our changing technological world.  

We need better internet services.

"
2019/04/09 2:13:21 PM AST,47,No,Yes,Large-scale commercial development isn't feasible but more residential is likely given need for more housing in Upper Valley.  Cost of new housing in terms of additional services vs. tax revenue is difficult to determine. Lyme is far above Grafton County average in the median home prices and property taxes. 67% of property taxes goes to education. ,"Pleasant, well-maintained community with mix of economic levels, friendly neighbors, and a strong sense of place.  ",More small-scale commercial development to broaden tax base.  Less land in convservation easement to bring more land open for residential and small-scale development.  We already have too much land in conservation.  ,3,2,Too high,"More small-scale commercial development and finding ways to cut school budget, larger class size, mixed grade classes in early years.  Also, it seems like there are a lot of town employees for a town of our size.  ",," The current tax burden is unsustainable, so I would urge the town to consider whatever it takes to level off the increases.  "
2019/04/09 2:46:59 PM AST,48,No,Yes,Growth isn't the answer,"Still a small town, great town events, people helping people, wonderful school, terrific recreation opportunities, super library","It would be great if taxes weren't so high, we need to advocate for more support from the state",5,5,Too high,Advocate for more help from the state line a state tax to underwrite education,,"Infrastructure- Deterioration of roads, bridges, culverts"
2019/04/09 9:55:43 PM AST,49,No,Yes,Lyme has an issue with its tax base,"Beautiful, small, close to nature","More, interesting commercial development",3,5,Too high,More commercial development ,,
